Number of variables: n = 6
GF extension exponent: l = 3
Polynomials' degree: b = 1
Total number of polynomials in file: 9
Bent functions type: PS+
Number of polynomials needed for a single function: t = 5

Function: 4F37CBE957B9B501 nl: 28 deg: 3 2-Rank: 14 Polynomials list:	p_2(X) = X^1 + X 	p_4(X) = X^1 + X + 2 	p_6(X) = X^1 + X + 4 	p_7(X) = X^1 + X + 5 	p_9(X) = X^1 + X + 7 
Function: CE76EAF85EBCB601 nl: 28 deg: 3 2-Rank: 14 Polynomials list:	p_3(X) = X^1 + X + 1 	p_4(X) = X^1 + X + 2 	p_6(X) = X^1 + X + 4 	p_7(X) = X^1 + X + 5 	p_9(X) = X^1 + X + 7 
Function: 56B44ECA36E8B8FF nl: 28 deg: 3 2-Rank: 14 Polynomials list:	p_1(X) = 1 	p_5(X) = X^1 + X + 3 	p_6(X) = X^1 + X + 4 	p_7(X) = X^1 + X + 5 	p_9(X) = X^1 + X + 7 
Function: 57B54FCB37E9B901 nl: 28 deg: 3 2-Rank: 14 Polynomials list:	p_2(X) = X^1 + X 	p_5(X) = X^1 + X + 3 	p_6(X) = X^1 + X + 4 	p_7(X) = X^1 + X + 5 	p_9(X) = X^1 + X + 7 
Function: D6F46EDA3EECBA01 nl: 28 deg: 3 2-Rank: 14 Polynomials list:	p_3(X) = X^1 + X + 1 	p_5(X) = X^1 + X + 3 	p_6(X) = X^1 + X + 4 	p_7(X) = X^1 + X + 5 	p_9(X) = X^1 + X + 7 
Function: 5EB6CEEA76F8BC01 nl: 28 deg: 3 2-Rank: 14 Polynomials list:	p_4(X) = X^1 + X + 2 	p_5(X) = X^1 + X + 3 	p_6(X) = X^1 + X + 4 	p_7(X) = X^1 + X + 5 	p_9(X) = X^1 + X + 7 
Function: A5693355990FC3FF nl: 28 deg: 3 2-Rank: 14 Polynomials list:	p_1(X) = 1 	p_2(X) = X^1 + X 	p_3(X) = X^1 + X + 1 	p_8(X) = X^1 + X + 6 	p_9(X) = X^1 + X + 7 
Function: 2D2B9365D11BC5FF nl: 28 deg: 3 2-Rank: 14 Polynomials list:	p_1(X) = 1 	p_2(X) = X^1 + X 	p_4(X) = X^1 + X + 2 	p_8(X) = X^1 + X + 6 	p_9(X) = X^1 + X + 7 
Function: AC6AB274D81EC6FF nl: 28 deg: 3 2-Rank: 14 Polynomials list:	p_1(X) = 1 	p_3(X) = X^1 + X + 1 	p_4(X) = X^1 + X + 2 	p_8(X) = X^1 + X + 6 	p_9(X) = X^1 + X + 7 
Function: AD6BB375D91FC701 nl: 28 deg: 3 2-Rank: 14 Polynomials list:	p_2(X) = X^1 + X 	p_3(X) = X^1 + X + 1 	p_4(X) = X^1 + X + 2 	p_8(X) = X^1 + X + 6 	p_9(X) = X^1 + X + 7 
Function: 35A91747B14BC9FF nl: 28 deg: 3 2-Rank: 14 Polynomials list:	p_1(X) = 1 	p_2(X) = X^1 + X 	p_5(X) = X^1 + X + 3 	p_8(X) = X^1 + X + 6 	p_9(X) = X^1 + X + 7 
Function: B4E83656B84ECAFF nl: 28 deg: 3 2-Rank: 14 Polynomials list:	p_1(X) = 1 	p_3(X) = X^1 + X + 1 	p_5(X) = X^1 + X + 3 	p_8(X) = X^1 + X + 6 	p_9(X) = X^1 + X + 7 
Function: B5E93757B94FCB01 nl: 28 deg: 3 2-Rank: 14 Polynomials list:	p_2(X) = X^1 + X 	p_3(X) = X^1 + X + 1 	p_5(X) = X^1 + X + 3 	p_8(X) = X^1 + X + 6 	p_9(X) = X^1 + X + 7 
Function: 3CAA9666F05ACCFF nl: 28 deg: 3 2-Rank: 14 Polynomials list:	p_1(X) = 1 	p_4(X) = X^1 + X + 2 	p_5(X) = X^1 + X + 3 	p_8(X) = X^1 + X + 6 	p_9(X) = X^1 + X + 7 
Function: 3DAB9767F15BCD01 nl: 28 deg: 3 2-Rank: 14 Polynomials list:	p_2(X) = X^1 + X 	p_4(X) = X^1 + X + 2 	p_5(X) = X^1 + X + 3 	p_8(X) = X^1 + X + 6 	p_9(X) = X^1 + X + 7 
Function: BCEAB676F85ECE01 nl: 28 deg: 3 2-Rank: 14 Polynomials list:	p_3(X) = X^1 + X + 1 	p_4(X) = X^1 + X + 2 	p_5(X) = X^1 + X + 3 	p_8(X) = X^1 + X + 6 	p_9(X) = X^1 + X + 7 
Function: 652D1BC5932BD1FF nl: 28 deg: 3 2-Rank: 14 Polynomials list:	p_1(X) = 1 	p_2(X) = X^1 + X 	p_6(X) = X^1 + X + 4 	p_8(X) = X^1 + X + 6 	p_9(X) = X^1 + X + 7 
Function: E46C3AD49A2ED2FF nl: 28 deg: 3 2-Rank: 14 Polynomials list:	p_1(X) = 1 	p_3(X) = X^1 + X + 1 	p_6(X) = X^1 + X + 4 	p_8(X) = X^1 + X + 6 	p_9(X) = X^1 + X + 7 
Function: E56D3BD59B2FD301 nl: 28 deg: 3 2-Rank: 14 Polynomials list:	p_2(X) = X^1 + X 	p_3(X) = X^1 + X + 1 	p_6(X) = X^1 + X + 4 	p_8(X) = X^1 + X + 6 	p_9(X) = X^1 + X + 7 
