Number of variables: n = 8
GF extension exponent: l = 2
Polynomials' degree: b = 2
Total number of polynomials in file: 11
Bent functions type: PS-
Number of polynomials needed for a single function: t = 8

Function: C533569928EB7D11E84D963953A51B71C3932E4795A5B1D10A6FA0CF6C0F0000 nl: 120 deg: 4 2-Rank: 44 Polynomials list:	p_2(X) = X^2  	p_3(X) = X^2 3X + 3 	p_4(X) = X^2 3X + 1 	p_5(X) = X^2 2X + 2 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: E521429D29635991A8598E3152875351438B3C4594E13391046FA02F8C0FFFFE nl: 120 deg: 4 2-Rank: 36 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_3(X) = X^2 3X + 3 	p_6(X) = X^2 + X + 3 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: E423529529C31D9168598E295383517143993A4584E5B3110C2F806FA40FFFFE nl: 120 deg: 4 2-Rank: 36 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_4(X) = X^2 3X + 1 	p_6(X) = X^2 + X + 3 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: E522529C29E25D90E8588E3853865370439A3E4494E4B3900C6EA06EAC0EFFFE nl: 120 deg: 4 2-Rank: 44 Polynomials list:	p_1(X) = 1 	p_3(X) = X^2 3X + 3 	p_4(X) = X^2 3X + 1 	p_6(X) = X^2 + X + 3 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: E523529D29E35D91E8598E3953875371439B3E4594E5B3910C6FA06FAC0F0000 nl: 120 deg: 4 2-Rank: 40 Polynomials list:	p_2(X) = X^2  	p_3(X) = X^2 3X + 3 	p_4(X) = X^2 3X + 1 	p_6(X) = X^2 + X + 3 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: E4314695294B3991285D9E2152A35951C389384785E13351062F80AFC40FFFFE nl: 120 deg: 4 2-Rank: 36 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_5(X) = X^2 2X + 2 	p_6(X) = X^2 + X + 3 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: E530469C296A7990A85C9E3052A65B50C38A3C4695E033D0066EA0AECC0EFFFE nl: 120 deg: 4 2-Rank: 44 Polynomials list:	p_1(X) = 1 	p_3(X) = X^2 3X + 3 	p_5(X) = X^2 2X + 2 	p_6(X) = X^2 + X + 3 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: E531469D296B7991A85D9E3152A75B51C38B3C4795E133D1066FA0AFCC0F0000 nl: 120 deg: 4 2-Rank: 44 Polynomials list:	p_2(X) = X^2  	p_3(X) = X^2 3X + 3 	p_5(X) = X^2 2X + 2 	p_6(X) = X^2 + X + 3 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: E432569429CA3D90685C9E2853A25970C3983A4685E4B3500E2E80EEE40EFFFE nl: 120 deg: 4 2-Rank: 44 Polynomials list:	p_1(X) = 1 	p_4(X) = X^2 3X + 1 	p_5(X) = X^2 2X + 2 	p_6(X) = X^2 + X + 3 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: E433569529CB3D91685D9E2953A35971C3993A4785E5B3510E2F80EFE40F0000 nl: 120 deg: 4 2-Rank: 44 Polynomials list:	p_2(X) = X^2  	p_4(X) = X^2 3X + 1 	p_5(X) = X^2 2X + 2 	p_6(X) = X^2 + X + 3 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: E532569C29EA7D90E85C9E3853A65B70C39A3E4695E4B3D00E6EA0EEEC0E0000 nl: 120 deg: 4 2-Rank: 46 Polynomials list:	p_3(X) = X^2 3X + 3 	p_4(X) = X^2 3X + 1 	p_5(X) = X^2 2X + 2 	p_6(X) = X^2 + X + 3 	p_8(X) = X^2 + X + 2 p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: C5254A9938635931A949863352C5935163832C5594A9359100EFE00F0E0FFFFE nl: 120 deg: 4 2-Rank: 36 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_3(X) = X^2 3X + 3 	p_7(X) = X^2 2X + 1 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: C4275A9138C31D316949862B53C1917163912A5584ADB51108AFC04F260FFFFE nl: 120 deg: 4 2-Rank: 36 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_4(X) = X^2 3X + 1 	p_7(X) = X^2 2X + 1 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: C5265A9838E25D30E948863A53C4937063922E5494ACB59008EEE04E2E0EFFFE nl: 120 deg: 4 2-Rank: 44 Polynomials list:	p_1(X) = 1 	p_3(X) = X^2 3X + 3 	p_4(X) = X^2 3X + 1 	p_7(X) = X^2 2X + 1 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: C5275A9938E35D31E949863B53C5937163932E5594ADB59108EFE04F2E0F0000 nl: 120 deg: 4 2-Rank: 44 Polynomials list:	p_2(X) = X^2  	p_3(X) = X^2 3X + 3 	p_4(X) = X^2 3X + 1 	p_7(X) = X^2 2X + 1 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: C4354E91384B3931294D962352E19951E381285785A9355102AFC08F460FFFFE nl: 120 deg: 4 2-Rank: 36 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_5(X) = X^2 2X + 2 	p_7(X) = X^2 2X + 1 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: C5344E98386A7930A94C963252E49B50E3822C5695A835D002EEE08E4E0EFFFE nl: 120 deg: 4 2-Rank: 44 Polynomials list:	p_1(X) = 1 	p_3(X) = X^2 3X + 3 	p_5(X) = X^2 2X + 2 	p_7(X) = X^2 2X + 1 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: C5354E99386B7931A94D963352E59B51E3832C5795A935D102EFE08F4E0F0000 nl: 120 deg: 4 2-Rank: 44 Polynomials list:	p_2(X) = X^2  	p_3(X) = X^2 3X + 3 	p_5(X) = X^2 2X + 2 	p_7(X) = X^2 2X + 1 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: C4365E9038CA3D30694C962A53E09970E3902A5685ACB5500AAEC0CE660EFFFE nl: 120 deg: 4 2-Rank: 44 Polynomials list:	p_1(X) = 1 	p_4(X) = X^2 3X + 1 	p_5(X) = X^2 2X + 2 	p_7(X) = X^2 2X + 1 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: C4375E9138CB3D31694D962B53E19971E3912A5785ADB5510AAFC0CF660F0000 nl: 120 deg: 4 2-Rank: 44 Polynomials list:	p_2(X) = X^2  	p_4(X) = X^2 3X + 1 	p_5(X) = X^2 2X + 2 	p_7(X) = X^2 2X + 1 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: C5365E9838EA7D30E94C963A53E49B70E3922E5695ACB5D00AEEE0CE6E0E0000 nl: 120 deg: 4 2-Rank: 46 Polynomials list:	p_3(X) = X^2 3X + 3 	p_4(X) = X^2 3X + 1 	p_5(X) = X^2 2X + 2 	p_7(X) = X^2 2X + 1 	p_8(X) = X^2 + X + 2 p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: E4254A95394319B129598E2352C3D1516389385584E9371104AFC02F860FFFFE nl: 120 deg: 4 2-Rank: 36 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 2X + 1 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: E5244A9C396259B0A9588E3252C6D350638A3C5494E8379004EEE02E8E0EFFFE nl: 120 deg: 4 2-Rank: 44 Polynomials list:	p_1(X) = 1 	p_3(X) = X^2 3X + 3 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 2X + 1 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: E5254A9D396359B1A9598E3352C7D351638B3C5594E9379104EFE02F8E0F0000 nl: 120 deg: 4 2-Rank: 44 Polynomials list:	p_2(X) = X^2  	p_3(X) = X^2 3X + 3 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 2X + 1 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: E4265A9439C21DB069588E2A53C2D17063983A5484ECB7100CAEC06EA60EFFFE nl: 120 deg: 4 2-Rank: 40 Polynomials list:	p_1(X) = 1 	p_4(X) = X^2 3X + 1 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 2X + 1 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: E4275A9539C31DB169598E2B53C3D17163993A5584EDB7110CAFC06FA60F0000 nl: 120 deg: 4 2-Rank: 44 Polynomials list:	p_2(X) = X^2  	p_4(X) = X^2 3X + 1 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 2X + 1 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: E5265A9C39E25DB0E9588E3A53C6D370639A3E5494ECB7900CEEE06EAE0E0000 nl: 120 deg: 4 2-Rank: 46 Polynomials list:	p_3(X) = X^2 3X + 3 	p_4(X) = X^2 3X + 1 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 2X + 1 	p_8(X) = X^2 + X + 2 p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: E4344E94394A39B0295C9E2252E2D950E388385685E8375006AEC0AEC60EFFFE nl: 120 deg: 4 2-Rank: 44 Polynomials list:	p_1(X) = 1 	p_5(X) = X^2 2X + 2 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 2X + 1 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: E4354E95394B39B1295D9E2352E3D951E389385785E9375106AFC0AFC60F0000 nl: 120 deg: 4 2-Rank: 40 Polynomials list:	p_2(X) = X^2  	p_5(X) = X^2 2X + 2 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 2X + 1 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: E5344E9C396A79B0A95C9E3252E6DB50E38A3C5695E837D006EEE0AECE0E0000 nl: 120 deg: 4 2-Rank: 46 Polynomials list:	p_3(X) = X^2 3X + 3 	p_5(X) = X^2 2X + 2 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 2X + 1 	p_8(X) = X^2 + X + 2 p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: E4365E9439CA3DB0695C9E2A53E2D970E3983A5685ECB7500EAEC0EEE60E0000 nl: 120 deg: 4 2-Rank: 46 Polynomials list:	p_4(X) = X^2 3X + 1 	p_5(X) = X^2 2X + 2 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 2X + 1 	p_8(X) = X^2 + X + 2 p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 

Function: F1165E1C31EA7CA8E91C1F1A13E6CB64E19A1E5611FCA6D28EE8E4E4EE220000 nl: 120 deg: 4 2-Rank: 40 Polynomials list:	p_1(X) = X^2 3X + 3 	p_2(X) = X^2 3X + 1 	p_3(X) = X^2 2X + 2 	p_4(X) = X^2 + X + 3 	p_5(X) = X^2 2X + 1 	p_6(X) = X^2 + X + 2 	p_7(X) = X^2 + 1 	p_8(X) = X^2 + X + 1
Function: E5161F1C19EA6DA2E15C1E3A11F6CA78F11A3E1691ECB6C44EE4E2E2EE880000 nl: 120 deg: 4 2-Rank: 40 Polynomials list:	p_1(X) = X^2 3X + 3 	p_2(X) = X^2 3X + 1 	p_3(X) = X^2 2X + 2 	p_4(X) = X^2 + X + 3 	p_5(X) = X^2 2X + 1 	p_6(X) = X^2 + X + 2 	p_7(X) = X^2 + 3 	p_8(X) = X^2 2X + 3
Function: E1361E9C11FA6CB4F11C9E1A51E6DA62E31A1F1615ECA7C82EE2E8E8EE440000 nl: 120 deg: 4 2-Rank: 40 Polynomials list:	p_1(X) = X^2 3X + 3 	p_2(X) = X^2 3X + 1 	p_3(X) = X^2 2X + 2 	p_4(X) = X^2 + X + 3 	p_5(X) = X^2 2X + 1 	p_6(X) = X^2 + X + 2 	p_7(X) = X^2 + 2 	p_8(X) = X^2 3X + 2

Function: E1171D1D11EB6CA3E11D1E1B1177CA69B11B1E1711EDA6C54EE1E2E1EE810000 nl: 120 deg: 4 2-Rank: 40 Polynomials list:	p_1(X) = X^2 3X + 3 	p_2(X) = X^2 3X + 1 	p_3(X) = X^2 2X + 2 	p_4(X) = X^2 + X + 3 	p_5(X) = X^2 2X + 1 	p_6(X) = X^2 + X + 2 	p_7(X) = X^2  	p_8(X) = X^2 2X + 3
Function: E1171E1D11BB6CA5D11D1E1B11E7CA63E11B171711EDA6C92EE1E8E1EE410000 nl: 120 deg: 4 2-Rank: 40 Polynomials list:	p_1(X) = X^2 3X + 3 	p_2(X) = X^2 3X + 1 	p_3(X) = X^2 2X + 2 	p_4(X) = X^2 + X + 3 	p_5(X) = X^2 2X + 1 	p_6(X) = X^2 + X + 2 	p_7(X) = X^2  	p_8(X) = X^2 3X + 2
Function: 71171E1D11EB6CA9E11D1B1B11E7CA65E11B1E1711DDA6C38EE1E4E1EE210000 nl: 120 deg: 4 2-Rank: 40 Polynomials list:	p_1(X) = X^2 3X + 3 	p_2(X) = X^2 3X + 1 	p_3(X) = X^2 2X + 2 	p_4(X) = X^2 + X + 3 	p_5(X) = X^2 2X + 1 	p_6(X) = X^2 + X + 2 	p_7(X) = X^2  	p_8(X) = X^2 + X + 1
Function: E1161D1C11EA6CA2E11C1E1A1176CA68B11A1E1611ECA6C44EE0E2E0EE80FFFE nl: 120 deg: 4 2-Rank: 40 Polynomials list:	p_1(X) = X^2 3X + 3 	p_2(X) = X^2 3X + 1 	p_3(X) = X^2 2X + 2 	p_4(X) = X^2 + X + 3 	p_5(X) = X^2 2X + 1 	p_6(X) = X^2 + X + 2 	p_7(X) = 1 	p_8(X) = X^2 2X + 3
Function: E1161E1C11BA6CA4D11C1E1A11E6CA62E11A171611ECA6C82EE0E8E0EE40FFFE nl: 120 deg: 4 2-Rank: 40 Polynomials list:	p_1(X) = X^2 3X + 3 	p_2(X) = X^2 3X + 1 	p_3(X) = X^2 2X + 2 	p_4(X) = X^2 + X + 3 	p_5(X) = X^2 2X + 1 	p_6(X) = X^2 + X + 2 	p_7(X) = 1 	p_8(X) = X^2 3X + 2
Function: 71161E1C11EA6CA8E11C1B1A11E6CA64E11A1E1611DCA6C28EE0E4E0EE20FFFE nl: 120 deg: 4 2-Rank: 40 Polynomials list:	p_1(X) = X^2 3X + 3 	p_2(X) = X^2 3X + 1 	p_3(X) = X^2 2X + 2 	p_4(X) = X^2 + X + 3 	p_5(X) = X^2 2X + 1 	p_6(X) = X^2 + X + 2 	p_7(X) = 1 	p_8(X) = X^2 + X + 1 
