Number of variables: n = 8
GF extension exponent: l = 2
Polynomials' degree: b = 2
Total number of polynomials in file: 11
Bent functions type: PS-
Number of polynomials needed for a single function: t = 8

Function: 21371C8D11E964B1E115981B4167DA21A21B1E13154D87C10EC360E9EA05FFFE nl: 120 deg: 4 2-Rank: 46 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_3(X) = X^2 3X + 3 	p_4(X) = X^2 3X + 1 	p_5(X) = X^2 2X + 2 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 2X + 1 	p_11(X) = X^2 + 2 
Function: 6133149D01EB6C91E01D9A1951275A61831B1E0715C5A3C10E63A0E9EC05FFFE nl: 120 deg: 4 2-Rank: 46 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_3(X) = X^2 3X + 3 	p_4(X) = X^2 3X + 1 	p_5(X) = X^2 2X + 2 	p_6(X) = X^2 + X + 3 	p_8(X) = X^2 + X + 2 	p_11(X) = X^2 + 2 
Function: 41371C9910EB6C31E10D921B51659A61A3130E17158DA5C10AE3E0C96E05FFFE nl: 120 deg: 4 2-Rank: 46 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_3(X) = X^2 3X + 3 	p_4(X) = X^2 3X + 1 	p_5(X) = X^2 2X + 2 	p_7(X) = X^2 2X + 1 	p_8(X) = X^2 + X + 2 	p_11(X) = X^2 + 2 
Function: 6127189D11E34CB1E1198A1B5147D261231B1E1514CDA7810CE3E069AE05FFFE nl: 120 deg: 4 2-Rank: 46 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_3(X) = X^2 3X + 3 	p_4(X) = X^2 3X + 1 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 2X + 1 	p_8(X) = X^2 + X + 2 	p_11(X) = X^2 + 2 
Function: 61350C9D116B68B1A11D9A135067DA41A30B1C1715C927C106E3E0A9CE05FFFE nl: 120 deg: 4 2-Rank: 46 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_3(X) = X^2 3X + 3 	p_5(X) = X^2 2X + 2 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 2X + 1 	p_8(X) = X^2 + X + 2 	p_11(X) = X^2 + 2 
Function: 60371C9511CB2CB1611D9A0B5163D861A3191A1705CDA7410EA3C0E9E605FFFE nl: 120 deg: 4 2-Rank: 46 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_4(X) = X^2 3X + 1 	p_5(X) = X^2 2X + 2 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 2X + 1 	p_8(X) = X^2 + X + 2 	p_11(X) = X^2 + 2 
Function: 61361C9C11EA6CB0E11C9A1A5166DA60A31A1E1615CCA7C00EE2E0E8EE04FFFE nl: 120 deg: 4 2-Rank: 42 Polynomials list:	p_1(X) = 1 	p_3(X) = X^2 3X + 3 	p_4(X) = X^2 3X + 1 	p_5(X) = X^2 2X + 2 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 2X + 1 	p_8(X) = X^2 + X + 2 	p_11(X) = X^2 + 2 
Function: 61371C9D11EB6CB1E11D9A1B5167DA61A31B1E1715CDA7C10EE3E0E9EE050000 nl: 120 deg: 4 2-Rank: 42 Polynomials list:	p_2(X) = X^2  	p_3(X) = X^2 3X + 3 	p_4(X) = X^2 3X + 1 	p_5(X) = X^2 2X + 2 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 2X + 1 	p_8(X) = X^2 + X + 2 	p_11(X) = X^2 + 2 
Function: A133548D21E97491E8159C1943275B21829B1E43156583D10E4B20EDE807FFFE nl: 120 deg: 4 2-Rank: 40 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_3(X) = X^2 3X + 3 	p_4(X) = X^2 3X + 1 	p_5(X) = X^2 2X + 2 	p_6(X) = X^2 + X + 3 	p_9(X) = X^2 + 1 	p_11(X) = X^2 + 2 
Function: 81375C8930E97431E905941B43659B21A2930E53152D85D10ACB60CD6A07FFFE nl: 120 deg: 4 2-Rank: 44 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_3(X) = X^2 3X + 3 	p_4(X) = X^2 3X + 1 	p_5(X) = X^2 2X + 2 	p_7(X) = X^2 2X + 1 	p_9(X) = X^2 + 1 	p_11(X) = X^2 + 2 
Function: A127588D31E154B1E9118C1B4347D321229B1E51146D87910CCB606DAA07FFFE nl: 120 deg: 4 2-Rank: 44 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_3(X) = X^2 3X + 3 	p_4(X) = X^2 3X + 1 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 2X + 1 	p_9(X) = X^2 + 1 	p_11(X) = X^2 + 2 
