Number of variables: n = 8
GF extension exponent: l = 2
Polynomials' degree: b = 2
Total number of polynomials in file: 11
Bent functions type: PS+
Number of polynomials needed for a single function: t = 9

Function: 65361E9C19EA6DB0E15C9A3A51E6DA70E31A3E1695CCB7C00EE6E0EAEE0CFFFF nl: 120 deg: 4 2-Rank: 44 Polynomials list:	p_1(X) = 1 	p_3(X) = X^2 3X + 3 	p_4(X) = X^2 3X + 1 	p_5(X) = X^2 2X + 2 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 2X + 1 	p_8(X) = X^2 + X + 2 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: 65371E9D19EB6DB1E15D9A3B51E7DA71E31B3E1795CDB7C10EE7E0EBEE0D0001 nl: 120 deg: 4 2-Rank: 44 Polynomials list:	p_2(X) = X^2  	p_3(X) = X^2 3X + 3 	p_4(X) = X^2 3X + 1 	p_5(X) = X^2 2X + 2 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 2X + 1 	p_8(X) = X^2 + X + 2 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: A533568D29E97591E8559C3943A75B31C29B3E43956593D10E4F20EFE80FFFFF nl: 120 deg: 4 2-Rank: 40 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_3(X) = X^2 3X + 3 	p_4(X) = X^2 3X + 1 	p_5(X) = X^2 2X + 2 	p_6(X) = X^2 + X + 3 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: 85375E8938E97531E945943B43E59B31E2932E53952D95D10ACF60CF6A0FFFFF nl: 120 deg: 4 2-Rank: 40 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_3(X) = X^2 3X + 3 	p_4(X) = X^2 3X + 1 	p_5(X) = X^2 2X + 2 	p_7(X) = X^2 2X + 1 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: A5275A8D39E155B1E9518C3B43C7D331629B3E51946D97910CCF606FAA0FFFFF nl: 120 deg: 4 2-Rank: 40 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_3(X) = X^2 3X + 3 	p_4(X) = X^2 3X + 1 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 2X + 1 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: A5354E8D396971B1A9559C3342E7DB11E28B3C53956917D106CF60AFCA0FFFFF nl: 120 deg: 4 2-Rank: 40 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_3(X) = X^2 3X + 3 	p_5(X) = X^2 2X + 2 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 2X + 1 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: A4375E8539C935B169559C2B43E3D931E2993A53856D97510E8F40EFE20FFFFF nl: 120 deg: 4 2-Rank: 40 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_4(X) = X^2 3X + 1 	p_5(X) = X^2 2X + 2 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 2X + 1 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: A5365E8C39E875B0E9549C3A43E6DB30E29A3E52956C97D00ECE60EEEA0EFFFF nl: 120 deg: 4 2-Rank: 40 Polynomials list:	p_1(X) = 1 	p_3(X) = X^2 3X + 3 	p_4(X) = X^2 3X + 1 	p_5(X) = X^2 2X + 2 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 2X + 1 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: A5375E8D39E975B1E9559C3B43E7DB31E29B3E53956D97D10ECF60EFEA0F0001 nl: 120 deg: 4 2-Rank: 40 Polynomials list:	p_2(X) = X^2  	p_3(X) = X^2 3X + 3 	p_4(X) = X^2 3X + 1 	p_5(X) = X^2 2X + 2 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 2X + 1 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
Function: C533569928EB7D11E84D963953A51B71C3932E4795A5B1D10A6FA0CF6C0FFFFF nl: 120 deg: 4 2-Rank: 40 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_3(X) = X^2 3X + 3 	p_4(X) = X^2 3X + 1 	p_5(X) = X^2 2X + 2 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 	p_11(X) = X^2 + 2 
